Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,Cost,Profit Margin
Sports Direct,1197831,2021-08-29,South,Texas,Dallas,Men's Street Footwear,18.0,182,328.0,147.0,Online,181.0,44.81707317073171
West Gear,1128299,2020-02-14,West,Nevada,Las Vegas,Men's Athletic Footwear,64.0,182,1165.0,454.0,Online,711.0,38.96995708154506
West Gear,1128299,2020-05-21,West,Colorado,Denver,Men's Athletic Footwear,64.0,182,1165.0,443.0,Online,722.0,38.02575107296137
West Gear,1128299,2020-06-30,West,Washington,Seattle,Women's Apparel,98.0,182,1784.0,606.0,Online,1178.0,33.96860986547085
West Gear,1128299,2020-07-02,West,Washington,Seattle,Men's Athletic Footwear,82.0,182,1492.0,537.0,Online,955.0,35.99195710455764
Foot Locker,1185732,2020-08-22,Southeast,Florida,Miami,Men's Apparel,53.0,182,965.0,444.0,Online,521.0,46.01036269430052
Sports Direct,1185732,2020-10-02,Southeast,Florida,Miami,Women's Athletic Footwear,45.0,182,819.0,360.0,Online,459.0,43.956043956043956
Kohl's,1189833,2021-03-05,Midwest,Montana,Billings,Men's Athletic Footwear,45.0,182,819.0,352.0,Online,467.0,42.97924297924298
Sports Direct,1197831,2021-03-11,Midwest,Montana,Billings,Men's Athletic Footwear,29.0,182,528.0,243.0,Online,285.0,46.02272727272727
Sports Direct,1197831,2021-04-27,South,Tennessee,Knoxville,Men's Street Footwear,49.0,182,892.0,535.0,Online,357.0,59.97757847533632
Sports Direct,1197831,2021-04-29,South,Tennessee,Knoxville,Women's Street Footwear,54.0,182,983.0,580.0,Online,403.0,59.0030518819939
Sports Direct,1197831,2021-09-17,South,Alabama,Birmingham,Women's Apparel,59.0,182,1074.0,827.0,Online,247.0,77.00186219739292
Amazon,1185732,2021-07-20,West,Alaska,Anchorage,Men's Street Footwear,63.0,182,1147.0,527.0,Online,620.0,45.94594594594595
Foot Locker,1128299,2021-07-09,West,Hawaii,Honolulu,Men's Athletic Footwear,81.0,182,1474.0,501.0,Online,973.0,33.98914518317503
Walmart,1128299,2021-12-09,West,Hawaii,Honolulu,Men's Athletic Footwear,77.0,182,1401.0,420.0,Online,981.0,29.978586723768736
West Gear,1185732,2021-02-10,Northeast,New York,Albany,Women's Apparel,42.0,182,764.0,489.0,Online,275.0,64.00523560209425
Kohl's,1185732,2021-12-08,Northeast,New York,Albany,Women's Apparel,69.0,182,1256.0,804.0,Online,452.0,64.01273885350318
Foot Locker,1128299,2021-06-24,Southeast,Virginia,Richmond,Women's Apparel,96.0,182,1747.0,699.0,Online,1048.0,40.01144819690899
Foot Locker,1128299,2021-07-23,Southeast,Virginia,Richmond,Women's Street Footwear,86.0,182,1565.0,704.0,Online,861.0,44.98402555910543
Foot Locker,1185732,2021-02-18,Midwest,Michigan,Detroit,Men's Street Footwear,29.0,182,528.0,280.0,Online,248.0,53.03030303030303
West Gear,1185732,2021-06-11,West,Utah,Salt Lake City,Men's Street Footwear,28.0,182,510.0,260.0,Online,250.0,50.98039215686274
Foot Locker,1197831,2021-01-05,South,Louisiana,New Orleans,Men's Street Footwear,19.0,182,346.0,149.0,Online,197.0,43.0635838150289
Sports Direct,1197831,2021-09-05,West,Idaho,Boise,Women's Street Footwear,56.0,182,1019.0,530.0,Online,489.0,52.01177625122669
Sports Direct,1197831,2021-11-05,West,Idaho,Boise,Men's Street Footwear,33.0,182,601.0,330.0,Online,271.0,54.90848585690515
Kohl's,1128299,2021-12-25,West,New Mexico,Albuquerque,Men's Athletic Footwear,61.0,182,1110.0,555.0,Online,555.0,50.0
Sports Direct,1128299,2021-08-13,Southeast,Georgia,Atlanta,Men's Street Footwear,53.0,182,965.0,492.0,Online,473.0,50.984455958549226
Foot Locker,1185732,2021-04-06,Southeast,South Carolina,Charleston,Men's Athletic Footwear,34.0,182,619.0,285.0,Online,334.0,46.04200323101777
Foot Locker,1185732,2021-04-06,Southeast,South Carolina,Charleston,Women's Street Footwear,24.0,182,437.0,166.0,Online,271.0,37.986270022883296
Foot Locker,1185732,2021-05-05,Southeast,South Carolina,Charleston,Women's Athletic Footwear,43.0,182,783.0,329.0,Online,454.0,42.017879948914434
Sports Direct,1185732,2021-05-02,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,42.0,182,764.0,352.0,Online,412.0,46.07329842931937
Sports Direct,1185732,2021-06-04,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,42.0,182,764.0,359.0,Online,405.0,46.989528795811516
Sports Direct,1185732,2021-07-02,Southeast,North Carolina,Charlotte,Men's Apparel,59.0,182,1074.0,526.0,Online,548.0,48.97579143389199
Sports Direct,1185732,2021-08-03,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,44.0,182,801.0,424.0,Online,377.0,52.9338327091136
Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Men's Street Footwear,48.0,182,874.0,454.0,Online,420.0,51.94508009153318
West Gear,1197831,2021-07-19,South,Oklahoma,Oklahoma City,Men's Street Footwear,50.0,182,910.0,473.0,Online,437.0,51.978021978021985
Kohl's,1197831,2021-07-12,Midwest,Kansas,Wichita,Men's Street Footwear,51.0,182,928.0,464.0,Online,464.0,50.0
West Gear,1185732,2021-07-16,Northeast,West Virginia,Charleston,Men's Street Footwear,55.0,182,1001.0,521.0,Online,480.0,52.04795204795205
Foot Locker,1185732,2021-07-13,Northeast,Delaware,Wilmington,Men's Street Footwear,53.0,182,965.0,482.0,Online,483.0,49.94818652849741
Amazon,1185732,2021-07-10,Northeast,Vermont,Burlington,Men's Street Footwear,54.0,182,983.0,560.0,Online,423.0,56.96846388606307
West Gear,1128299,2021-01-04,West,California,San Francisco,Men's Apparel,49.0,182,892.0,508.0,Outlet,384.0,56.95067264573991
Kohl's,1189833,2021-03-10,West,California,San Francisco,Women's Athletic Footwear,33.0,182,601.0,228.0,Outlet,373.0,37.93677204658902
Sports Direct,1197831,2021-09-07,South,Texas,Dallas,Women's Athletic Footwear,27.0,182,491.0,241.0,Outlet,250.0,49.08350305498982
West Gear,1128299,2020-01-14,West,Nevada,Las Vegas,Men's Street Footwear,31.0,182,564.0,254.0,Outlet,310.0,45.0354609929078
West Gear,1128299,2020-02-02,West,Nevada,Las Vegas,Men's Athletic Footwear,51.0,182,928.0,334.0,Outlet,594.0,35.991379310344826
Sports Direct,1197831,2021-04-19,South,Tennessee,Knoxville,Men's Apparel,33.0,182,601.0,270.0,Outlet,331.0,44.92512479201331
West Gear,1185732,2021-07-10,West,Utah,Salt Lake City,Men's Athletic Footwear,20.0,182,364.0,142.0,Outlet,222.0,39.010989010989015
Kohl's,1128299,2021-10-26,West,New Mexico,Albuquerque,Men's Athletic Footwear,38.0,182,692.0,297.0,Outlet,395.0,42.919075144508675
West Gear,1197831,2021-03-19,South,Oklahoma,Oklahoma City,Men's Street Footwear,14.0,182,255.0,117.0,Outlet,138.0,45.88235294117647
Sports Direct,1185732,2021-03-03,Northeast,Connecticut,Hartford,Men's Street Footwear,26.0,182,473.0,203.0,Outlet,270.0,42.917547568710354
Foot Locker,1185732,2021-08-07,Northeast,Rhode Island,Providence,Men's Street Footwear,38.0,182,692.0,284.0,Outlet,408.0,41.040462427745666
Walmart,1197831,2020-09-08,South,Texas,Houston,Women's Athletic Footwear,47.0,181,851.0,468.0,Online,383.0,54.99412455934195
West Gear,1128299,2021-01-23,West,California,San Francisco,Women's Apparel,76.0,181,1376.0,344.0,Online,1032.0,25.0
Kohl's,1189833,2021-04-18,West,California,Los Angeles,Women's Apparel,64.0,181,1158.0,359.0,Online,799.0,31.001727115716754
Sports Direct,1197831,2021-09-28,South,Texas,Dallas,Men's Street Footwear,53.0,181,959.0,528.0,Online,431.0,55.05735140771637
Sports Direct,1197831,2021-10-10,South,Texas,Dallas,Men's Street Footwear,38.0,181,688.0,378.0,Online,310.0,54.94186046511628
West Gear,1128299,2020-04-19,West,Colorado,Denver,Women's Apparel,83.0,181,1502.0,646.0,Online,856.0,43.00932090545938
Sports Direct,1197831,2021-03-17,South,Tennessee,Knoxville,Men's Athletic Footwear,33.0,181,597.0,287.0,Online,310.0,48.073701842546065
Sports Direct,1197831,2021-04-26,South,Tennessee,Knoxville,Women's Apparel,53.0,181,959.0,681.0,Online,278.0,71.01147028154328
West Gear,1185732,2021-06-10,Northeast,New York,Albany,Women's Apparel,69.0,181,1249.0,774.0,Online,475.0,61.96957566052842
Sports Direct,1185732,2021-04-16,Midwest,Michigan,Detroit,Men's Street Footwear,32.0,181,579.0,348.0,Online,231.0,60.10362694300518
West Gear,1185732,2021-04-11,West,Utah,Salt Lake City,Men's Street Footwear,27.0,181,489.0,244.0,Online,245.0,49.897750511247445
Sports Direct,1197831,2021-09-05,West,Idaho,Boise,Women's Apparel,49.0,181,887.0,594.0,Online,293.0,66.96730552423901
Foot Locker,1128299,2021-12-22,West,Arizona,Phoenix,Men's Street Footwear,44.0,181,796.0,366.0,Online,430.0,45.97989949748744
Foot Locker,1185732,2021-03-05,Southeast,South Carolina,Charleston,Women's Street Footwear,24.0,181,434.0,165.0,Online,269.0,38.0184331797235
Foot Locker,1185732,2021-03-05,Southeast,South Carolina,Charleston,Men's Apparel,41.0,181,742.0,356.0,Online,386.0,47.97843665768194
Sports Direct,1185732,2021-01-06,Southeast,South Carolina,Charleston,Men's Athletic Footwear,34.0,181,615.0,308.0,Online,307.0,50.081300813008134
Sports Direct,1185732,2021-03-02,Southeast,North Carolina,Charlotte,Women's Street Footwear,19.0,181,344.0,179.0,Online,165.0,52.03488372093024
Sports Direct,1185732,2021-09-02,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,49.0,181,887.0,443.0,Online,444.0,49.943630214205186
Amazon,1185732,2021-07-09,Midwest,Ohio,Columbus,Women's Apparel,69.0,181,1249.0,787.0,Online,462.0,63.01040832666133
Amazon,1185732,2021-12-09,Midwest,Ohio,Columbus,Men's Athletic Footwear,60.0,181,1086.0,510.0,Online,576.0,46.96132596685083
Walmart,1197831,2021-03-19,South,Arkansas,Little Rock,Men's Street Footwear,18.0,181,326.0,173.0,Online,153.0,53.06748466257669
Walmart,1197831,2021-05-19,South,Arkansas,Little Rock,Men's Street Footwear,39.0,181,706.0,381.0,Online,325.0,53.966005665722385
Kohl's,1189833,2021-02-14,Midwest,Montana,Billings,Men's Street Footwear,41.0,180,738.0,428.0,Online,310.0,57.994579945799465
Sports Direct,1197831,2021-04-05,South,Tennessee,Knoxville,Women's Street Footwear,19.0,180,342.0,185.0,Online,157.0,54.09356725146199
Sports Direct,1197831,2021-09-03,South,Alabama,Birmingham,Women's Athletic Footwear,41.0,180,738.0,509.0,Online,229.0,68.97018970189703
Foot Locker,1128299,2021-06-10,West,Hawaii,Honolulu,Women's Street Footwear,71.0,180,1278.0,460.0,Online,818.0,35.99374021909233
Walmart,1128299,2021-07-16,Southeast,Florida,Orlando,Women's Athletic Footwear,82.0,180,1476.0,635.0,Online,841.0,43.02168021680217
West Gear,1128299,2021-12-16,Southeast,Florida,Orlando,Women's Athletic Footwear,78.0,180,1404.0,576.0,Online,828.0,41.02564102564102
Foot Locker,1128299,2021-07-23,Southeast,Virginia,Richmond,Women's Apparel,96.0,180,1728.0,691.0,Online,1037.0,39.988425925925924
Foot Locker,1185732,2021-05-19,Midwest,Missouri,St. Louis,Men's Street Footwear,39.0,180,702.0,358.0,Online,344.0,50.997150997150996
Kohl's,1128299,2021-07-25,West,New Mexico,Albuquerque,Men's Athletic Footwear,56.0,180,1008.0,544.0,Online,464.0,53.96825396825397
Sports Direct,1128299,2021-09-14,Southeast,Georgia,Atlanta,Men's Street Footwear,43.0,180,774.0,418.0,Online,356.0,54.00516795865633
Foot Locker,1185732,2021-04-06,Southeast,South Carolina,Charleston,Women's Athletic Footwear,27.0,180,486.0,209.0,Online,277.0,43.00411522633745
Sports Direct,1185732,2021-02-04,Southeast,North Carolina,Charlotte,Men's Apparel,44.0,180,792.0,396.0,Online,396.0,50.0
Kohl's,1185732,2021-08-07,Northeast,New Jersey,Newark,Men's Street Footwear,47.0,180,846.0,406.0,Online,440.0,47.99054373522459
Amazon,1185732,2021-02-19,Northeast,Vermont,Burlington,Men's Street Footwear,49.0,180,882.0,467.0,Online,415.0,52.94784580498866
Walmart,1197831,2020-08-16,South,Texas,Houston,Men's Apparel,35.0,180,630.0,221.0,Outlet,409.0,35.079365079365076
West Gear,1128299,2020-02-20,West,Nevada,Las Vegas,Men's Athletic Footwear,51.0,180,918.0,248.0,Outlet,670.0,27.01525054466231
West Gear,1128299,2021-11-17,South,Louisiana,New Orleans,Women's Apparel,64.0,180,1152.0,472.0,Outlet,680.0,40.97222222222222
Foot Locker,1197831,2021-02-04,South,Louisiana,New Orleans,Men's Athletic Footwear,28.0,180,504.0,166.0,Outlet,338.0,32.93650793650794
Kohl's,1128299,2021-11-26,West,New Mexico,Albuquerque,Men's Athletic Footwear,44.0,180,792.0,341.0,Outlet,451.0,43.05555555555556
Walmart,1197831,2021-10-21,South,Arkansas,Little Rock,Men's Street Footwear,21.0,180,378.0,170.0,Outlet,208.0,44.97354497354497
Sports Direct,1185732,2021-07-13,Northeast,Massachusetts,Boston,Men's Street Footwear,37.0,180,666.0,220.0,Outlet,446.0,33.033033033033036
West Gear,1185732,2021-05-18,Northeast,West Virginia,Charleston,Men's Street Footwear,58.0,179,1038.0,540.0,Online,498.0,52.02312138728323
Walmart,1197831,2020-08-10,South,Texas,Houston,Men's Apparel,34.0,179,609.0,207.0,Outlet,402.0,33.99014778325123
Kohl's,1189833,2021-03-16,West,California,Los Angeles,Women's Athletic Footwear,34.0,179,609.0,250.0,Outlet,359.0,41.050903119868636
Sports Direct,1197831,2021-08-31,South,Texas,Dallas,Women's Street Footwear,20.0,179,358.0,140.0,Outlet,218.0,39.10614525139665
Foot Locker,1185732,2021-12-03,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,51.0,179,913.0,529.0,Outlet,384.0,57.9408543263965
West Gear,1128299,2020-02-15,West,Nevada,Las Vegas,Women's Street Footwear,44.0,179,788.0,331.0,Outlet,457.0,42.00507614213198
Sports Direct,1197831,2021-04-06,South,Tennessee,Knoxville,Women's Athletic Footwear,20.0,179,358.0,193.0,Outlet,165.0,53.910614525139664
Sports Direct,1197831,2021-05-08,South,Tennessee,Knoxville,Women's Apparel,29.0,179,519.0,348.0,Outlet,171.0,67.05202312138728
Sports Direct,1197831,2021-09-10,South,Alabama,Birmingham,Men's Apparel,35.0,179,627.0,326.0,Outlet,301.0,51.993620414673046
West Gear,1128299,2021-12-16,Southeast,Florida,Orlando,Men's Apparel,64.0,179,1146.0,298.0,Outlet,848.0,26.003490401396164
West Gear,1185732,2021-08-11,West,Utah,Salt Lake City,Men's Athletic Footwear,28.0,179,501.0,211.0,Outlet,290.0,42.115768463073856
West Gear,1128299,2021-06-24,West,Oregon,Portland,Women's Athletic Footwear,62.0,179,1110.0,455.0,Outlet,655.0,40.99099099099099
West Gear,1128299,2021-10-24,West,Oregon,Portland,Men's Athletic Footwear,37.0,179,662.0,252.0,Outlet,410.0,38.066465256797585
West Gear,1128299,2021-03-16,South,Louisiana,New Orleans,Men's Street Footwear,29.0,179,519.0,239.0,Outlet,280.0,46.05009633911368
Sports Direct,1197831,2021-10-04,West,Idaho,Boise,Women's Street Footwear,31.0,179,555.0,233.0,Outlet,322.0,41.98198198198198
Sports Direct,1197831,2021-10-04,West,Idaho,Boise,Women's Apparel,34.0,179,609.0,359.0,Outlet,250.0,58.94909688013136
Sports Direct,1128299,2021-04-13,Southeast,Georgia,Atlanta,Men's Street Footwear,37.0,179,662.0,285.0,Outlet,377.0,43.051359516616316
Walmart,1185732,2021-08-17,South,Mississippi,Jackson,Women's Street Footwear,37.0,179,662.0,291.0,Outlet,371.0,43.957703927492446
West Gear,1197831,2021-05-19,South,Oklahoma,Oklahoma City,Men's Street Footwear,28.0,179,501.0,216.0,Outlet,285.0,43.11377245508982
Amazon,1185732,2021-01-14,Northeast,Massachusetts,Boston,Men's Street Footwear,35.0,179,627.0,326.0,Outlet,301.0,51.993620414673046
Amazon,1185732,2021-09-10,Northeast,Vermont,Burlington,Men's Street Footwear,44.0,179,788.0,386.0,Outlet,402.0,48.984771573604064
Sports Direct,1197831,2021-05-04,South,Tennessee,Knoxville,Men's Athletic Footwear,25.0,178,445.0,214.0,Outlet,231.0,48.08988764044943
West Gear,1128299,2021-05-18,South,Louisiana,New Orleans,Women's Apparel,46.0,178,819.0,328.0,Outlet,491.0,40.04884004884005
Sports Direct,1185732,2021-12-16,South,Mississippi,Jackson,Women's Apparel,53.0,178,943.0,519.0,Outlet,424.0,55.037115588547195
West Gear,1197831,2021-01-23,South,Arkansas,Little Rock,Men's Street Footwear,17.0,178,303.0,142.0,Outlet,161.0,46.864686468646866
Amazon,1185732,2021-12-13,Northeast,Massachusetts,Boston,Men's Street Footwear,51.0,178,908.0,318.0,Outlet,590.0,35.02202643171806
Amazon,1185732,2021-05-10,Northeast,Vermont,Burlington,Men's Street Footwear,48.0,177,850.0,433.0,Outlet,417.0,50.94117647058823
Sports Direct,1197831,2020-07-27,South,Texas,Houston,Women's Street Footwear,32.0,176,563.0,253.0,Online,310.0,44.93783303730018
Kohl's,1189833,2021-03-18,West,California,Los Angeles,Women's Apparel,41.0,176,722.0,216.0,Online,506.0,29.916897506925206
Kohl's,1189833,2021-05-10,West,California,Los Angeles,Women's Athletic Footwear,46.0,176,810.0,405.0,Online,405.0,50.0
Kohl's,1189833,2021-05-15,West,California,Los Angeles,Women's Street Footwear,49.0,176,862.0,440.0,Online,422.0,51.04408352668214
Kohl's,1189833,2021-05-18,West,California,Los Angeles,Women's Apparel,62.0,176,1091.0,382.0,Online,709.0,35.01374885426215
Kohl's,1189833,2021-05-22,West,California,Los Angeles,Women's Athletic Footwear,47.0,176,827.0,372.0,Online,455.0,44.98186215235792
Sports Direct,1197831,2021-08-17,South,Texas,Dallas,Men's Street Footwear,23.0,176,405.0,174.0,Online,231.0,42.96296296296296
Sports Direct,1197831,2021-09-12,South,Texas,Dallas,Women's Street Footwear,44.0,176,774.0,364.0,Online,410.0,47.02842377260982
Sports Direct,1197831,2021-09-29,South,Texas,Dallas,Men's Athletic Footwear,54.0,176,950.0,485.0,Online,465.0,51.05263157894737
Sports Direct,1197831,2021-10-12,South,Texas,Dallas,Women's Street Footwear,63.0,176,1109.0,610.0,Online,499.0,55.00450856627592
Sports Direct,1197831,2021-10-15,South,Texas,Dallas,Women's Apparel,67.0,176,1179.0,766.0,Online,413.0,64.97031382527567
Sports Direct,1197831,2021-03-29,South,Tennessee,Knoxville,Men's Athletic Footwear,24.0,176,422.0,215.0,Online,207.0,50.947867298578196
West Gear,1185732,2021-01-12,Southeast,Florida,Orlando,Women's Apparel,44.0,176,774.0,503.0,Online,271.0,64.98708010335918
West Gear,1185732,2021-11-09,Northeast,New York,Albany,Women's Apparel,68.0,176,1197.0,766.0,Online,431.0,63.99331662489557
Foot Locker,1128299,2021-06-24,Southeast,Virginia,Richmond,Men's Athletic Footwear,62.0,176,1091.0,502.0,Online,589.0,46.012832263978005
Sports Direct,1185732,2021-08-16,Midwest,Michigan,Detroit,Women's Apparel,45.0,176,792.0,539.0,Online,253.0,68.05555555555556
Sports Direct,1185732,2021-12-15,Midwest,Michigan,Detroit,Men's Athletic Footwear,46.0,176,810.0,429.0,Online,381.0,52.96296296296297
Sports Direct,1197831,2021-09-05,West,Idaho,Boise,Men's Street Footwear,50.0,176,880.0,440.0,Online,440.0,50.0
Foot Locker,1197831,2021-12-04,West,Idaho,Boise,Women's Street Footwear,56.0,176,986.0,513.0,Online,473.0,52.02839756592292
Kohl's,1128299,2021-08-26,West,New Mexico,Albuquerque,Men's Athletic Footwear,60.0,176,1056.0,549.0,Online,507.0,51.98863636363637
Sports Direct,1128299,2021-06-13,Southeast,Georgia,Atlanta,Men's Street Footwear,46.0,176,810.0,429.0,Online,381.0,52.96296296296297
Foot Locker,1185732,2021-10-07,Southeast,South Carolina,Charleston,Women's Street Footwear,41.0,176,722.0,281.0,Online,441.0,38.9196675900277
Foot Locker,1185732,2021-10-07,Southeast,South Carolina,Charleston,Women's Athletic Footwear,41.0,176,722.0,289.0,Online,433.0,40.02770083102493
Sports Direct,1185732,2021-08-03,Southeast,North Carolina,Charlotte,Men's Apparel,53.0,176,933.0,448.0,Online,485.0,48.01714898177921
Sports Direct,1185732,2021-10-04,Southeast,North Carolina,Charlotte,Women's Apparel,48.0,176,845.0,532.0,Online,313.0,62.9585798816568
Walmart,1185732,2021-07-16,South,Mississippi,Jackson,Women's Apparel,61.0,176,1074.0,655.0,Online,419.0,60.98696461824954
Walmart,1185732,2021-10-18,South,Mississippi,Jackson,Men's Street Footwear,32.0,176,563.0,304.0,Online,259.0,53.99644760213144
Sports Direct,1197831,2021-01-23,South,Mississippi,Jackson,Men's Street Footwear,24.0,176,422.0,215.0,Online,207.0,50.947867298578196
Foot Locker,1185732,2021-12-16,Northeast,West Virginia,Charleston,Men's Street Footwear,60.0,176,1056.0,549.0,Online,507.0,51.98863636363637
Amazon,1185732,2021-08-11,Northeast,Vermont,Burlington,Men's Street Footwear,58.0,176,1021.0,612.0,Online,409.0,59.94123408423114
Sports Direct,1197831,2020-07-23,South,Texas,Houston,Men's Apparel,26.0,176,458.0,156.0,Outlet,302.0,34.06113537117904
Kohl's,1189833,2021-03-22,West,California,Los Angeles,Women's Athletic Footwear,36.0,176,634.0,247.0,Outlet,387.0,38.958990536277604
West Gear,1128299,2020-02-03,West,Nevada,Las Vegas,Women's Street Footwear,46.0,176,810.0,389.0,Outlet,421.0,48.02469135802469
Sports Direct,1197831,2021-05-18,South,Tennessee,Knoxville,Women's Athletic Footwear,44.0,176,774.0,465.0,Outlet,309.0,60.07751937984496
Foot Locker,1128299,2021-11-24,Southeast,Virginia,Richmond,Women's Apparel,60.0,176,1056.0,348.0,Outlet,708.0,32.95454545454545
Sports Direct,1128299,2021-12-23,Southeast,Virginia,Richmond,Women's Athletic Footwear,51.0,176,898.0,350.0,Outlet,548.0,38.97550111358575
Sports Direct,1185732,2021-01-19,Southeast,Virginia,Richmond,Women's Street Footwear,18.0,176,317.0,101.0,Outlet,216.0,31.861198738170348
West Gear,1128299,2021-05-18,South,Louisiana,New Orleans,Men's Street Footwear,32.0,176,563.0,242.0,Outlet,321.0,42.98401420959148
West Gear,1197831,2021-04-05,West,Idaho,Boise,Women's Apparel,23.0,176,405.0,231.0,Outlet,174.0,57.03703703703704
Kohl's,1128299,2021-11-26,West,New Mexico,Albuquerque,Men's Street Footwear,47.0,176,827.0,339.0,Outlet,488.0,40.991535671100365
West Gear,1197831,2021-11-20,South,Arkansas,Little Rock,Men's Street Footwear,18.0,176,317.0,146.0,Outlet,171.0,46.05678233438486
Kohl's,1197831,2021-01-16,South,Oklahoma,Oklahoma City,Men's Street Footwear,17.0,176,299.0,114.0,Outlet,185.0,38.12709030100335
Foot Locker,1185732,2021-06-08,Northeast,Rhode Island,Providence,Men's Street Footwear,36.0,176,634.0,253.0,Outlet,381.0,39.905362776025235
Foot Locker,1185732,2021-06-07,Midwest,Illinois,Chicago,Men's Athletic Footwear,45.0,175,7875.0,2756.0,Outlet,5119.0,34.9968253968254
Foot Locker,1185732,2021-06-26,Midwest,Illinois,Chicago,Women's Street Footwear,50.0,175,8750.0,3063.0,Outlet,5687.0,35.005714285714284
Foot Locker,1185732,2021-07-03,Midwest,Illinois,Chicago,Women's Athletic Footwear,40.0,175,7000.0,2800.0,Outlet,4200.0,40.0
Foot Locker,1185732,2021-07-04,Midwest,Illinois,Chicago,Men's Apparel,50.0,175,8750.0,3063.0,Outlet,5687.0,35.005714285714284
Foot Locker,1185732,2021-07-21,Midwest,Illinois,Chicago,Women's Athletic Footwear,40.0,175,7000.0,2800.0,Outlet,4200.0,40.0
Foot Locker,1185732,2021-07-22,Midwest,Illinois,Chicago,Men's Apparel,50.0,175,8750.0,3063.0,Outlet,5687.0,35.005714285714284
Foot Locker,1185732,2021-08-02,Midwest,Illinois,Chicago,Women's Athletic Footwear,50.0,175,8750.0,3500.0,Outlet,5250.0,40.0
Foot Locker,1185732,2021-10-30,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,35.0,175,6125.0,2450.0,Outlet,3675.0,40.0
Foot Locker,1185732,2021-11-05,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,40.0,175,7000.0,2800.0,Outlet,4200.0,40.0
Foot Locker,1185732,2021-11-08,Northeast,Pennsylvania,Philadelphia,Women's Apparel,50.0,175,8750.0,2188.0,Outlet,6562.0,25.005714285714287
Foot Locker,1185732,2021-12-12,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,45.0,175,7875.0,2756.0,Outlet,5119.0,34.9968253968254
Foot Locker,1185732,2020-10-31,Midwest,Minnesota,Minneapolis,Women's Street Footwear,30.0,175,5250.0,1575.0,In-store,3675.0,30.0
Foot Locker,1185732,2020-11-03,Midwest,Minnesota,Minneapolis,Women's Apparel,40.0,175,7000.0,3150.0,In-store,3850.0,45.0
Foot Locker,1185732,2020-11-09,Midwest,Minnesota,Minneapolis,Women's Apparel,40.0,175,7000.0,3150.0,In-store,3850.0,45.0
Foot Locker,1185732,2020-11-17,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,40.0,175,7000.0,2100.0,Outlet,4900.0,30.0
Foot Locker,1185732,2020-11-18,Midwest,Minnesota,Minneapolis,Women's Street Footwear,35.0,175,6125.0,1838.0,Outlet,4287.0,30.00816326530612
Foot Locker,1185732,2020-11-25,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,40.0,175,7000.0,2450.0,Outlet,4550.0,35.0
Foot Locker,1185732,2020-12-01,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,35.0,175,6125.0,2144.0,Outlet,3981.0,35.00408163265306
Foot Locker,1185732,2020-12-25,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,45.0,175,7875.0,2756.0,Outlet,5119.0,34.9968253968254
Foot Locker,1185732,2021-05-29,Midwest,Nebraska,Omaha,Women's Street Footwear,25.0,175,4375.0,1531.0,Outlet,2844.0,34.994285714285716
Foot Locker,1185732,2021-06-22,Midwest,Nebraska,Omaha,Women's Street Footwear,30.0,175,5250.0,1838.0,Outlet,3412.0,35.009523809523806
Foot Locker,1185732,2021-06-29,Midwest,Nebraska,Omaha,Women's Athletic Footwear,35.0,175,6125.0,2450.0,Outlet,3675.0,40.0
Foot Locker,1185732,2021-06-30,Midwest,Nebraska,Omaha,Men's Apparel,45.0,175,7875.0,2756.0,Outlet,5119.0,34.9968253968254
Amazon,1185732,2021-10-25,Northeast,Maine,Portland,Men's Athletic Footwear,40.0,175,7000.0,2450.0,Outlet,4550.0,35.0
Amazon,1185732,2021-11-07,Northeast,Maine,Portland,Women's Street Footwear,45.0,175,7875.0,3150.0,Outlet,4725.0,40.0
Amazon,1185732,2021-11-14,Northeast,Maine,Portland,Women's Athletic Footwear,45.0,175,7875.0,2363.0,Outlet,5512.0,30.00634920634921
Amazon,1185732,2021-11-20,Northeast,Maine,Portland,Women's Athletic Footwear,45.0,175,7875.0,2363.0,Outlet,5512.0,30.00634920634921
Amazon,1185732,2021-12-24,Northeast,Maine,Portland,Women's Athletic Footwear,45.0,175,7875.0,2363.0,Outlet,5512.0,30.00634920634921
Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Women's Athletic Footwear,50.0,175,8750.0,2188.0,Outlet,6562.0,25.005714285714287
Foot Locker,1128299,2021-01-10,West,Alaska,Anchorage,Men's Apparel,50.0,175,8750.0,1313.0,Outlet,7437.0,15.005714285714285
Foot Locker,1128299,2021-05-25,Southeast,Virginia,Richmond,Men's Apparel,45.0,175,7875.0,3150.0,In-store,4725.0,40.0
